seed_model,group,seed_ablation,noise_level,acc_t1,acc_t2,acc_t3,gain,ece,r_norm,delta_norm
4,C2,0,0.3,0.905000,0.830000,0.785000,-0.120000,0.209469,1.302174,1.741214
4,Baseline,0,0.5,0.715000,0.915000,0.885000,0.170000,0.146023,2.411326,2.928225
4,A,0,0.5,0.715000,0.765000,0.760000,0.045000,0.153624,0.000000,2.649811
4,C1,avg30,0.5,0.715000,0.000000,0.708333,-0.006667,0.000000,0.000000,0.000000
4,C2,0,0.5,0.715000,0.715000,0.695000,-0.020000,0.122458,1.453829,2.725144
4,Baseline,0,0.7,0.610000,0.760000,0.715000,0.105000,0.052776,2.605337,3.798202
4,A,0,0.7,0.610000,0.670000,0.605000,-0.005000,0.044911,0.000000,3.598446
4,C1,avg30,0.7,0.610000,0.000000,0.592167,-0.017833,0.000000,0.000000,0.000000
4,C2,0,0.7,0.610000,0.600000,0.530000,-0.080000,0.092166,1.636739,3.628099
4,Baseline,0,1.0,0.450000,0.580000,0.555000,0.105000,0.172079,2.938313,5.100351
4,A,0,1.0,0.450000,0.560000,0.470000,0.020000,0.199888,0.000000,4.931630
4,C1,avg30,1.0,0.450000,0.000000,0.487500,0.037500,0.000000,0.000000,0.000000
4,C2,0,1.0,0.450000,0.480000,0.435000,-0.015000,0.232128,1.911512,4.896421
5,Baseline,0,0.1,1.000000,1.000000,1.000000,0.000000,0.254431,2.240088,1.452918
5,A,0,0.1,1.000000,0.995000,1.000000,0.000000,0.456378,0.000000,0.449458
5,C1,avg30,0.1,1.000000,0.000000,0.796500,-0.203500,0.000000,0.000000,0.000000
5,C2,0,0.1,1.000000,1.000000,1.000000,0.000000,0.306738,2.369953,1.275238
5,Baseline,0,0.2,0.955000,0.995000,0.995000,0.040000,0.257903,2.200602,1.651925
5,A,0,0.2,0.955000,0.970000,0.975000,0.020000,0.441497,0.000000,0.908926
5,C1,avg30,0.2,0.955000,0.000000,0.771833,-0.183167,0.000000,0.000000,0.000000
5,C2,0,0.2,0.955000,0.990000,0.985000,0.030000,0.300689,2.376198,1.571432
5,Baseline,0,0.3,0.860000,0.955000,0.965000,0.105000,0.240671,2.162939,1.898223
5,A,0,0.3,0.860000,0.900000,0.895000,0.035000,0.370680,0.000000,1.358265
5,C1,avg30,0.3,0.860000,0.000000,0.733833,-0.126167,0.000000,0.000000,0.000000
5,C2,0,0.3,0.860000,0.940000,0.950000,0.090000,0.281598,2.388255,1.929099
5,Baseline,0,0.5,0.665000,0.850000,0.850000,0.185000,0.157951,2.136750,2.467530
5,A,0,0.5,0.665000,0.740000,0.760000,0.095000,0.240006,0.000000,2.215465
5,C1,avg30,0.5,0.665000,0.000000,0.642667,-0.022333,0.000000,0.000000,0.000000
5,C2,0,0.5,0.665000,0.830000,0.835000,0.170000,0.195721,2.454639,2.671788
5,Baseline,0,0.7,0.565000,0.715000,0.730000,0.165000,0.083855,2.195165,3.100899
5,A,0,0.7,0.565000,0.615000,0.655000,0.090000,0.127515,0.000000,3.012433
5,C1,avg30,0.7,0.565000,0.000000,0.557333,-0.007667,0.000000,0.000000,0.000000
5,C2,0,0.7,0.565000,0.670000,0.735000,0.170000,0.098764,2.556660,3.442031
5,Baseline,0,1.0,0.480000,0.520000,0.585000,0.105000,0.094759,2.337395,4.108529
5,A,0,1.0,0.480000,0.500000,0.540000,0.060000,0.053617,0.000000,4.153040
5,C1,avg30,1.0,0.480000,0.000000,0.468833,-0.011167,0.000000,0.000000,0.000000
5,C2,0,1.0,0.480000,0.530000,0.560000,0.080000,0.117068,2.727329,4.535244
6,Baseline,0,0.1,0.675000,0.785000,0.770000,0.095000,0.214092,2.211550,1.149631
6,A,0,0.1,0.675000,0.670000,0.660000,-0.015000,0.246554,0.000000,0.344042
6,C1,avg30,0.1,0.675000,0.000000,0.650500,-0.024500,0.000000,0.000000,0.000000
6,C2,0,0.1,0.675000,0.765000,0.600000,-0.075000,0.220611,1.900472,0.745661
6,Baseline,0,0.2,0.695000,0.795000,0.805000,0.110000,0.257491,2.202533,1.264341
6,A,0,0.2,0.695000,0.695000,0.705000,0.010000,0.288116,0.000000,0.672724
6,C1,avg30,0.2,0.695000,0.000000,0.654500,-0.040500,0.000000,0.000000,0.000000
6,C2,0,0.2,0.695000,0.685000,0.590000,-0.105000,0.198225,1.917682,0.944886
6,Baseline,0,0.3,0.695000,0.760000,0.795000,0.100000,0.248134,2.168848,1.429807
6,A,0,0.3,0.695000,0.675000,0.695000,0.000000,0.274178,0.000000,0.996168
6,C1,avg30,0.3,0.695000,0.000000,0.654167,-0.040833,0.000000,0.000000,0.000000
6,C2,0,0.3,0.695000,0.655000,0.545000,-0.150000,0.141842,1.948322,1.182481
6,Baseline,0,0.5,0.560000,0.600000,0.700000,0.140000,0.165837,2.123041,1.823372
6,A,0,0.5,0.560000,0.565000,0.610000,0.050000,0.184376,0.000000,1.625450
6,C1,avg30,0.5,0.560000,0.000000,0.579667,0.019667,0.000000,0.000000,0.000000
6,C2,0,0.5,0.560000,0.530000,0.465000,-0.095000,0.050934,2.063389,1.720570
6,Baseline,0,0.7,0.510000,0.500000,0.590000,0.080000,0.091834,2.198565,2.249826
6,A,0,0.7,0.510000,0.505000,0.520000,0.010000,0.081727,0.000000,2.245476
6,C1,avg30,0.7,0.510000,0.000000,0.490167,-0.019833,0.000000,0.000000,0.000000
6,C2,0,0.7,0.510000,0.465000,0.450000,-0.060000,0.076066,2.204097,2.295473
6,Baseline,0,1.0,0.405000,0.425000,0.450000,0.045000,0.119913,2.371853,2.995987
6,A,0,1.0,0.405000,0.350000,0.455000,0.050000,0.070012,0.000000,3.185424
6,C1,avg30,1.0,0.405000,0.000000,0.408667,0.003667,0.000000,0.000000,0.000000
6,C2,0,1.0,0.405000,0.375000,0.410000,0.005000,0.109688,2.422910,3.183477
7,Baseline,0,0.1,1.000000,1.000000,1.000000,0.000000,0.226868,2.119543,1.279636
7,A,0,0.1,1.000000,1.000000,1.000000,0.000000,0.387923,0.000000,0.474570
7,C1,avg30,0.1,1.000000,0.000000,0.769833,-0.230167,0.000000,0.000000,0.000000
7,C2,0,0.1,1.000000,0.805000,0.810000,-0.190000,0.364534,1.977750,1.218462
7,Baseline,0,0.2,0.970000,0.995000,1.000000,0.030000,0.244714,2.110504,1.465891
7,A,0,0.2,0.970000,0.980000,0.975000,0.005000,0.382286,0.000000,0.953185
7,C1,avg30,0.2,0.970000,0.000000,0.733333,-0.236667,0.000000,0.000000,0.000000
7,C2,0,0.2,0.970000,0.785000,0.760000,-0.210000,0.237517,1.986128,1.469983
7,Baseline,0,0.3,0.915000,0.965000,0.965000,0.050000,0.233821,2.112365,1.716935
7,A,0,0.3,0.915000,0.935000,0.930000,0.015000,0.360542,0.000000,1.418883
7,C1,avg30,0.3,0.915000,0.000000,0.690833,-0.224167,0.000000,0.000000,0.000000
7,C2,0,0.3,0.915000,0.770000,0.720000,-0.195000,0.185431,1.994528,1.777899
7,Baseline,0,0.5,0.725000,0.855000,0.850000,0.125000,0.164059,2.158887,2.308031
7,A,0,0.5,0.725000,0.775000,0.730000,0.005000,0.185659,0.000000,2.300681
7,C1,avg30,0.5,0.725000,0.000000,0.598500,-0.126500,0.000000,0.000000,0.000000
7,C2,0,0.5,0.725000,0.680000,0.635000,-0.090000,0.098627,2.060937,2.458298
7,Baseline,0,0.7,0.560000,0.720000,0.705000,0.145000,0.118167,2.259187,2.948721
7,A,0,0.7,0.560000,0.605000,0.580000,0.020000,0.075737,0.000000,3.107166
7,C1,avg30,0.7,0.560000,0.000000,0.505333,-0.054667,0.000000,0.000000,0.000000
7,C2,0,0.7,0.560000,0.575000,0.535000,-0.025000,0.084744,2.193883,3.192534
7,Baseline,0,1.0,0.425000,0.495000,0.535000,0.110000,0.210568,2.465312,4.010161
7,A,0,1.0,0.425000,0.470000,0.470000,0.045000,0.153761,0.000000,4.254990
7,C1,avg30,1.0,0.425000,0.000000,0.405333,-0.019667,0.000000,0.000000,0.000000
7,C2,0,1.0,0.425000,0.490000,0.455000,0.030000,0.160388,2.417969,4.285916
8,Baseline,0,0.1,0.740000,0.905000,0.995000,0.255000,0.377216,1.981412,1.281217
8,A,0,0.1,0.740000,0.730000,0.730000,-0.010000,0.270744,0.000000,0.517355
8,C1,avg30,0.1,0.740000,0.000000,0.907000,0.167000,0.000000,0.000000,0.000000
8,C2,0,0.1,0.740000,0.540000,0.610000,-0.130000,0.188542,1.566679,0.894283
8,Baseline,0,0.2,0.715000,0.930000,0.965000,0.250000,0.358060,1.972748,1.516371
8,A,0,0.2,0.715000,0.735000,0.785000,0.070000,0.311993,0.000000,0.996974
8,C1,avg30,0.2,0.715000,0.000000,0.875833,0.160833,0.000000,0.000000,0.000000
8,C2,0,0.2,0.715000,0.490000,0.650000,-0.065000,0.164812,1.600852,1.283785
8,Baseline,0,0.3,0.695000,0.890000,0.905000,0.210000,0.314433,1.963373,1.796734
8,A,0,0.3,0.695000,0.695000,0.755000,0.060000,0.280942,0.000000,1.447371
8,C1,avg30,0.3,0.695000,0.000000,0.819000,0.124000,0.000000,0.000000,0.000000
