seed_model,group,seed_ablation,noise_level,acc_t1,acc_t2,acc_t3,gain,ece,r_norm,delta_norm
3,C2_datamatched,103,0.7,0.48,0.4,0.375,-0.10499999999999998,0.1047990272223107,1.9588986578687895,0.7797865410049039
4,C2_datamatched,104,0.7,0.62,0.505,0.52,-0.09999999999999998,0.06887213268349714,1.7913913235442436,0.797563849554447
5,C2_datamatched,105,0.7,0.525,0.525,0.55,0.025000000000000022,0.08717585185809588,1.901364013938927,0.6879370453704352
6,C2_datamatched,106,0.7,0.51,0.44,0.48,-0.030000000000000027,0.11052287784238195,1.8784486052198843,0.4561570062288894
7,C2_datamatched,107,0.7,0.625,0.505,0.54,-0.08499999999999996,0.11392233856878135,1.8273751227991455,0.6406650842215711
8,C2_datamatched,108,0.7,0.42,0.355,0.415,-0.0050000000000000044,0.06328027156268975,1.5397595109194695,0.7613227697405262
9,C2_datamatched,109,0.7,0.525,0.505,0.52,-0.0050000000000000044,0.0870701139928081,2.2710694653817556,0.6916115287451566
0,C2_datamatched,100,0.5,0.72,0.68,0.66,-0.05999999999999994,0.1392572693616839,1.7122669060415923,1.0346045993126625
1,C2_datamatched,101,0.5,0.785,0.65,0.71,-0.07500000000000007,0.07621811381205573,1.859914985330255,1.4281547513542596
2,C2_datamatched,102,0.5,0.64,0.71,0.765,0.125,0.1642545302056909,1.6818161685856388,0.9476103476131172
3,C2_datamatched,103,0.5,0.64,0.48,0.43,-0.21000000000000002,0.1522341826100639,2.4317047129554004,1.1244380149398503
4,C2_datamatched,104,0.5,0.745,0.655,0.63,-0.11499999999999999,0.11955521193045517,1.662091748410347,0.8890491278394468
5,C2_datamatched,105,0.5,0.7,0.69,0.67,-0.029999999999999916,0.09741632866973012,2.1731443195030535,0.7813738050007072
6,C2_datamatched,106,0.5,0.65,0.6,0.565,-0.08500000000000008,0.12359322357109855,2.1255675431093852,0.6845131974004608
7,C2_datamatched,107,0.5,0.725,0.66,0.665,-0.05999999999999994,0.16786610345901215,1.9051543631490386,0.8238920920977373
8,C2_datamatched,108,0.5,0.62,0.51,0.635,0.015000000000000013,0.12381817212755354,1.6940837110752989,0.9901365404725039
9,C2_datamatched,109,0.5,0.755,0.685,0.705,-0.050000000000000044,0.14234970946700473,2.7334020035264257,0.9671896087476827
0,C2_datamatched,100,0.2,0.96,0.86,0.905,-0.05499999999999994,0.26531319989946006,2.5454802326091857,1.5731836242560615
1,C2_datamatched,101,0.2,0.855,0.81,0.945,0.08999999999999997,0.18669504171590642,1.9626070164338087,1.7109729589352753
2,C2_datamatched,102,0.2,0.9,0.985,0.99,0.08999999999999997,0.210215707964259,2.059783412559078,1.4424937309389776
3,C2_datamatched,103,0.2,0.9,0.58,0.51,-0.39,0.31570450588445054,3.0830275664458227,1.9677941641021073
4,C2_datamatched,104,0.2,0.955,0.79,0.735,-0.21999999999999997,0.07789799323118077,1.8739086821899462,1.5979768052403427
5,C2_datamatched,105,0.2,0.86,0.955,0.96,0.09999999999999998,0.20634385207451197,2.6058786324445316,1.219314932451218
6,C2_datamatched,106,0.2,0.725,0.83,0.71,-0.015000000000000013,0.19664608569949424,2.244482385508343,1.0348265292583405
7,C2_datamatched,107,0.2,0.93,0.87,0.685,-0.245,0.22680039565860113,2.1713228431207447,1.2631300431962382
8,C2_datamatched,108,0.2,0.85,0.73,0.865,0.015000000000000013,0.24733504756999788,2.0675241743661634,1.3605739777326766
