seed,condition,T_max,t,accuracy
1,baseline,15,9,0.840000
1,baseline,15,10,0.840000
1,baseline,15,11,0.840000
1,baseline,15,12,0.840000
1,baseline,15,13,0.840000
1,baseline,15,14,0.840000
1,baseline,15,15,0.840000
1,group_a,15,1,0.700000
1,group_a,15,2,0.700000
1,group_a,15,3,0.700000
1,group_a,15,4,0.700000
1,group_a,15,5,0.700000
1,group_a,15,6,0.700000
1,group_a,15,7,0.700000
1,group_a,15,8,0.700000
1,group_a,15,9,0.700000
1,group_a,15,10,0.700000
1,group_a,15,11,0.700000
1,group_a,15,12,0.700000
1,group_a,15,13,0.700000
1,group_a,15,14,0.700000
1,group_a,15,15,0.700000
1,group_c1,15,1,0.700000
1,group_c1,15,2,0.615167
1,group_c1,15,3,0.605500
1,group_c1,15,4,0.607833
1,group_c1,15,5,0.610000
1,group_c1,15,6,0.603167
1,group_c1,15,7,0.592500
1,group_c1,15,8,0.608500
1,group_c1,15,9,0.598333
1,group_c1,15,10,0.610500
1,group_c1,15,11,0.603167
1,group_c1,15,12,0.609000
1,group_c1,15,13,0.589833
1,group_c1,15,14,0.608833
1,group_c1,15,15,0.597000
1,group_c2,15,1,0.700000
1,group_c2,15,2,0.605000
1,group_c2,15,3,0.735000
1,group_c2,15,4,0.605000
1,group_c2,15,5,0.675000
1,group_c2,15,6,0.615000
1,group_c2,15,7,0.675000
1,group_c2,15,8,0.600000
1,group_c2,15,9,0.685000
1,group_c2,15,10,0.605000
1,group_c2,15,11,0.675000
1,group_c2,15,12,0.615000
1,group_c2,15,13,0.670000
1,group_c2,15,14,0.610000
1,group_c2,15,15,0.675000
1,baseline,20,1,0.700000
1,baseline,20,2,0.785000
1,baseline,20,3,0.820000
1,baseline,20,4,0.830000
1,baseline,20,5,0.830000
1,baseline,20,6,0.840000
1,baseline,20,7,0.840000
1,baseline,20,8,0.840000
1,baseline,20,9,0.840000
1,baseline,20,10,0.840000
1,baseline,20,11,0.840000
1,baseline,20,12,0.840000
1,baseline,20,13,0.840000
1,baseline,20,14,0.840000
1,baseline,20,15,0.840000
1,baseline,20,16,0.840000
